name,estimated_diameter_meters,close_approach_date,relative_velocity_kmh,miss_distance_km
154229 (2002 JN97),2805.6919027157,2024-09-30,71102.3345780285,63953842.156602479
230111 (2001 BE10),828.0183830478,2024-09-30,59957.1755615786,74047015.549397443
370037 (2000 SV20),772.7517171183,2024-09-30,49228.017726353,34862600.987458289
(2001 SQ263),196.8067450894,2024-09-30,93725.6685080623,51581735.27845135
(2014 KP4),812.9053443399,2024-09-30,122987.7010563329,40895941.352928654
(2017 WC15),855.1454292727,2024-09-30,82382.990091431,65638261.648990322
(2018 PL23),631.0154296359,2024-09-30,58828.4949460734,60883273.110448511
(2018 UC2),247.7650126055,2024-09-30,63843.9515343151,58042413.2542159
(2019 GD20),310.4845390059,2024-09-30,93554.3785441306,73906210.279246906
(2019 OK1),85.9092601232,2024-09-30,20502.307062721,69357817.446360185
(2019 SB6),26.1842403492,2024-09-30,19405.0632626124,21272371.536744205
(2020 TL2),74.8238376074,2024-09-30,49415.0674444517,31341667.643428043
(2020 TM6),35.8129403019,2024-09-30,64729.5367970264,62384845.454325255
(2021 CT),24.3242791478,2024-09-30,27651.8575527324,68885443.726417814
(2021 XW5),19.8627775481,2024-09-30,43813.0044709999,21681454.212635261
(2022 FA4),42.8587972046,2024-09-30,23403.769459423,21238222.576642926
(2022 SD29),30.0635303831,2024-09-30,65038.2109542526,70855146.79072948
(2022 VD),9.6391775254,2024-09-30,75116.3067735908,64639343.085043288
(2024 HQ),7.7631857698,2024-09-30,21038.1475469583,54041350.438271003
719194 (2018 PL23),631.0154296359,2024-09-30,58828.4930821518,60883272.003424273
(2024 QA1),278.3812488335,2024-09-30,73378.2219852766,29970437.096282556
(2024 RS5),85.6722117104,2024-09-30,12976.6373762755,31794628.31705668
(2024 SC),159.6761228334,2024-09-30,64519.3116609203,1633056.634500978
(2024 SO),85.3964817927,2024-09-30,45109.564528005,15398737.997660794
(2024 SP1),32.5866697127,2024-09-30,21124.3758704023,9211994.725407192
(2024 SX1),28.0310895465,2024-09-30,18279.8267361401,6272934.503928138
(2024 SJ2),32.7823421543,2024-09-30,26502.2166171817,9469627.270311056
(2024 SR3),91.209479795,2024-09-30,55774.271027399,9177831.523588689
392704 (2012 AE1),933.340215038,2024-10-07,44351.82801904,30498428.282413953
524268 (2001 TO48),613.8185073387,2024-10-07,96044.7096411473,70796080.151170373
(2007 EZ),651.6883821679,2024-10-07,67766.607465898,24110232.374557352
(2007 XN3),450.8582061718,2024-10-07,23595.3276388163,21622286.310277951
(2013 AV60),1047.2249454148,2024-10-07,76898.160841491,62670278.624119078
(2014 FP47),201.3909630836,2024-10-07,31100.7051541539,4908074.447438518
(2016 EC28),62.2357573367,2024-10-07,25030.4305075893,61219162.679755508
(2017 KR27),118.5877908577,2024-10-07,93207.8693601356,68229978.818959013
(2017 SD20),35.8129403019,2024-10-07,98097.4561239871,65357601.115002896
(2020 DT4),47.2106498806,2024-10-07,31763.8948524836,28952299.484539604
(2020 QO5),995.4970531478,2024-10-07,65211.8004956416,44916994.977121012
(2020 RG6),105.6914798531,2024-10-07,48726.4096238177,72181708.401238909
(2021 RA8),15.8503909578,2024-10-07,50234.7966964474,47153918.52326186
(2021 TS1),154.8959201062,2024-10-07,89779.2132914359,65647149.1686883
(2023 BW7),169.839999068,2024-10-07,26157.4872236015,74749397.385725005
(2023 MA2),28.7104486255,2024-10-07,60266.7360850644,69927607.9827853
(2023 UZ2),25.0057554041,2024-10-07,24014.0186921901,15703143.318925887
(2022 DZ29),3.5484605292,2024-10-07,62248.7847799901,49817268.763306676
671076 (2014 FP47),200.465655659,2024-10-07,31100.7051377407,4908074.432478731
688841 (2013 AV60),1047.2249454148,2024-10-07,76898.1578984766,62670276.978542508
(2024 QZ1),228.6862109249,2024-10-07,22579.9260298217,22974273.410214923
(2024 RS15),87.7889750856,2024-10-07,35688.9641293284,9257625.037795018
(2024 RT43),62.3217986345,2024-10-07,34975.0775343829,9095213.541757612
(2024 SU3),39.0876876124,2024-10-07,32616.7799581777,2162216.808308129
154020 (2002 CA10),912.0947979501,2024-10-05,65963.0927051302,57867897.644918924
(2007 TS19),428.5879720462,2024-10-05,105155.3255522638,63378339.779023533
(2009 UQ5),85.9092601232,2024-10-05,52408.1356621517,62664640.355197713
(2012 HP15),243.2427914778,2024-10-05,66509.1568900966,35943531.721702048
(2014 VA),77.6318576982,2024-10-05,22667.4151315756,6935481.56902997
(2015 VY),34.201092472,2024-10-05,72908.6602888753,58329829.583133165
(2018 TF5),49.435619262,2024-10-05,48289.733264498,9534491.5902818
(2018 TJ6),116.4233197418,2024-10-05,71979.7561517527,62264329.006339006
(2019 RW1),63.9793728683,2024-10-05,40896.553692658,34549931.341302064
(2019 TB7),25.9441817907,2024-10-05,58152.3807569339,62046388.635971188
(2020 GS2),149.2931834393,2024-10-05,42328.0019903674,41199613.03127948
(2020 HE7),10.328564805,2024-10-05,28173.175108393,39823921.400851658
(2020 PH5),200.465655659,2024-10-05,43138.3532219251,36293781.280309067
(2021 RR19),25.9441817907,2024-10-05,59488.0532756842,49891990.700282987
(2022 UA34),101.8685158322,2024-10-05,23731.086641684,46101006.467763372
(2023 FK1),25.9441817907,2024-10-05,29610.4614257033,27512279.648027757
(2023 GM1),20.9913310944,2024-10-05,18718.8713758885,5902621.238031607
(2023 KX1),10.0934579665,2024-10-05,44788.9650849151,58292878.490369129
(2023 TQ3),45.2939273097,2024-10-05,26245.4455085494,34371752.334485167
(2024 EP3),67.3038609686,2024-10-05,28595.5895333767,36845486.675913503
(2024 RD5),73.8312087688,2024-10-05,18898.104047012,21205639.681843742
(2024 RG9),84.7305408852,2024-10-05,16274.5255337623,22025861.959458993
(2024 RP30),278.1249682677,2024-10-05,82581.5238209212,48170112.215402671
(2024 RJ32),75.5509585447,2024-10-05,23683.321247031,2932687.307337693
(2024 SZ1),61.3253419873,2024-10-05,72861.3407490599,4208030.032950345
(2024 SH3),44.100141076,2024-10-05,29499.24169881,7248778.568813827
(2024 SL3),31.7424159843,2024-10-05,45427.2610091522,3131273.752470001
186822 (2004 FE31),1592.3553038248,2024-10-06,40902.1443267793,19304748.810332333
(2014 LW14),323.623446563,2024-10-06,37439.305002999,43505009.123216537
(2017 HQ3),42.8587972046,2024-10-06,27998.5543239473,38176953.002188752
(2018 RY1),76.9201245487,2024-10-06,24082.9544565296,8209655.411685377
(2018 TB5),29.7879062798,2024-10-06,75549.6847397495,22998673.092088089
(2020 UP1),45.0858206172,2024-10-06,86896.5294863239,56682793.192238344
(2021 EY4),174.5982871157,2024-10-06,37297.645481007,48043707.400775991
(2021 TA2),55.212826285,2024-10-06,60818.9159404127,29102227.995751878
(2022 GD5),375.0075217981,2024-10-06,59029.2825489828,42683848.059127888
(2021 KA17),242.1251923687,2024-10-06,30502.1790443115,15550565.429435913
(2022 SU21),74.4800533014,2024-10-06,75958.0940533126,6714432.420285469
(2022 TD),16.9059655155,2024-10-06,30286.9071522747,8881152.722872078
(2022 UM3),20.8948846888,2024-10-06,49315.8727867198,34061874.09482442
(2023 CL2),62.5230245403,2024-10-06,18424.1708831563,24659678.243933308
(2024 JE15),26.1842403492,2024-10-06,31453.2177101406,50462249.358362906
(2024 JH15),20.2320541533,2024-10-06,39741.216585925,70415647.292478331
(2024 LW2),41.5183397794,2024-10-06,16593.0462054957,42155383.94925006
(2024 RT4),67.056360574,2024-10-06,13071.7122353964,19321621.550175384
(2024 RS8),162.8695808757,2024-10-06,9587.1108558448,37602732.977551446
(2024 RO43),66.6254229121,2024-10-06,27885.6499203472,9831868.923292589
(1999 RA32),329.6400556414,2024-10-03,20809.8050271324,22596750.170255233
(2007 TL23),300.6353038309,2024-10-03,56783.5725044516,73304620.740861407
(2017 SE12),21.9806220506,2024-10-03,64741.0987366038,50281504.164643816
(2021 VH),7.0151987353,2024-10-03,11650.6828803091,17891252.242337663
(2021 VL5),11.3250461062,2024-10-03,31619.4712649929,27995355.704308437
(2023 FV10),59.4346868419,2024-10-03,58847.8091104066,46196992.156222761
(2023 SK3),39.8143819809,2024-10-03,29824.1041298932,29966093.163092218
(2024 GC2),56.4988982214,2024-10-03,50802.953569776,47598338.609612836
(2024 JD2),70.4757942143,2024-10-03,46178.5213994594,40379476.144128425
(2024 RV1),358.9549765561,2024-10-03,69210.3155680462,28060145.135585459
(2024 SD3),36.884166921,2024-10-03,65688.6416485752,1487521.63321316
(2024 SR4),26.4752444542,2024-10-03,41828.6976627935,2684681.894001087
164207 (2004 GU9),345.1755128432,2024-10-04,26357.9367081774,32586697.72663727
(1998 SD9),90.3732662579,2024-10-04,75024.5161032598,45812674.001490227
(2012 VE46),542.0507863358,2024-10-04,70332.1727726358,59398792.547616072
(2015 HB10),1361.5700153859,2024-10-04,63998.7407041169,19440155.183113292
(2017 SK16),154.8959201062,2024-10-04,76794.837888388,45249256.693362
(2017 UL6),2.3661375011,2024-10-04,73434.102191239,66937015.738147985
(2018 TB3),27.1668934089,2024-10-04,70122.2521444211,33902949.949533519
(2019 FT),154.8959201062,2024-10-04,108673.0123277938,73211941.434605184
(2021 UW5),10.0934579665,2024-10-04,104949.7184332616,71176381.408616176
(2022 SE5),265.4849941693,2024-10-04,64271.4873610403,71309293.042437654
(2022 UV5),43.655601735,2024-10-04,19060.2354148226,24538462.829819058
(2023 EN),14.3231974473,2024-10-04,54472.9581369014,58269065.127427854
620092 (2015 HB10),1241.766612574,2024-10-04,63998.703032936,19440088.582141568
(2023 NY),22.0820799921,2024-10-04,27800.6116304227,30272569.352711934
(2023 TK5),105.2058716137,2024-10-04,73786.0235031814,40800628.600567886
(2023 TC7),24.8908643942,2024-10-04,54206.0282411971,48962372.407146872
(2023 VP4),11.913516723,2024-10-04,15089.4878492385,24734543.2413527
(2024 RA11),73.1206391247,2024-10-04,24537.5843593379,9724888.53937755
(2024 RF13),242.4599318605,2024-10-04,51643.0552992991,44350657.787846551
(2024 RP13),429.1804974193,2024-10-04,31162.9187238607,48743770.664595784
(2024 SR1),22.0211491681,2024-10-04,21273.7616272435,2178658.317331118
(2024 SA2),47.7793215665,2024-10-04,36363.2467742629,8800248.399601638
(2024 ST4),757.9489903433,2024-10-04,86237.7593447437,52558347.064646092
3122 Florence (1981 ET3),8995.8038816908,2024-10-01,55105.4762162352,57099655.884876194
154589 (2003 MX2),2704.2072871842,2024-10-01,12337.2304626478,44664586.135521169
495833 (2000 SB8),824.2139841524,2024-10-01,38010.725449403,59018867.020180561
(2010 WU8),85.9092601232,2024-10-01,64577.0032591662,60043730.71671637
(2015 TG144),45.0858206172,2024-10-01,55762.4287601035,43204032.884327584
(2019 HN),469.9373664779,2024-10-01,67826.9776974311,58614897.135732708
(2021 CO3),41.4992242792,2024-10-01,52706.7295018398,68966104.264999302
(2021 TF1),39.0876876124,2024-10-01,47842.1325561643,48484783.346421413
(2022 QK4),103.7623929406,2024-10-01,43509.8257124198,65393529.900802713
(2022 UX4),82.4213984152,2024-10-01,31054.9154741543,27110170.791002278
(2023 HA1),73.1206391247,2024-10-01,52798.4757124438,52661778.568210695
(2023 HU2),66.0754270632,2024-10-01,73114.6897673021,72669199.240261159
(2023 TF1),53.7081234856,2024-10-01,40396.0988879064,9029646.725149135
(2024 GF3),42.6618789186,2024-10-01,38650.2468089746,70089605.945430665
(2024 RC5),73.3229583026,2024-10-01,23821.0318961745,14387206.822334273
(2024 RU9),53.0688869261,2024-10-01,31576.7208099428,9441528.422067252
(2024 RN15),51.5276075896,2024-10-01,25945.8311000314,3208998.62732997
(2024 RH45),61.2406763947,2024-10-01,29397.3967867674,1918176.785711613
(2024 SJ1),27.4814712085,2024-10-01,38277.5973926537,5819249.716769553
(2024 SY1),37.9175247376,2024-10-01,52238.6470247166,9272439.161348999
(2005 EU95),401.8277992159,2024-10-02,82934.7498766454,45176406.180860028
(2008 TF),248.908643942,2024-10-02,99071.703846194,52444306.828130439
(2009 UP1),610.9982674756,2024-10-02,73162.81420781,60790227.768123972
(2015 YA),19.6806745089,2024-10-02,32103.2157663524,39526426.468955262
(2017 TB1),65.1688382168,2024-10-02,41127.7857693538,36699970.688514962
(2019 OK),130.0289270043,2024-10-02,83871.4085777268,73676341.692795064
(2022 UF4),73.4581486599,2024-10-02,35983.6781672347,54848747.825129237
(2023 TN),66.9946278168,2024-10-02,62354.1912634253,29931828.324480837
(2024 RO2),61.4101246306,2024-10-02,33068.0431511422,1608167.438477598
(2024 RJ16),40.12730369,2024-10-02,24940.2031358932,6957943.644331109
(2024 SS),42.1347070526,2024-10-02,27018.3934559408,2190472.853993729
(2024 RM46),51.7416148382,2024-10-02,15644.5296564239,17065417.830548936
(2024 SV),40.5172516478,2024-10-02,22323.3311201667,7700131.93300761
